nome_pc,cpu_modelo,cpu_temp,cpu_uso,cpu_energia,ram_uso,ram_utilizada,ram_livre,
GUSNAWEB,Intel Core i5-8350U,88.0,10.4,19.4,90.1,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,85.0,9.9,16.9,90.1,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,84.0,9.6,16.5,90.1,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,88.0,11.9,17.7,90.0,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,88.0,18.5,21.5,90.4,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,85.0,20.9,23.8,90.4,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,83.0,9.4,22.9,90.5,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,84.0,9.6,18.2,90.5,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,86.0,8.3,18.4,90.5,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,83.0,9.0,18.1,90.5,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,85.0,10.2,18.3,90.4,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,87.0,10.1,18.2,90.4,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,88.0,10.2,18.2,90.4,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,86.0,10.0,18.0,90.3,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,87.0,10.5,18.5,90.3,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,89.0,10.0,17.9,90.3,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,88.0,10.6,18.3,90.2,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,86.0,10.5,18.3,90.2,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,85.0,10.0,18.2,90.2,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,86.0,9.8,18.1,90.1,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,84.0,10.3,18.3,90.1,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,85.0,9.1,18.9,90.1,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,85.0,10.0,18.3,90.1,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,86.0,10.4,18.4,90.1,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,84.0,10.0,18.7,90.1,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,84.0,9.4,18.5,90.1,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,79.0,10.0,18.1,90.1,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,86.0,11.1,18.5,90.1,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,87.0,9.2,18.4,90.1,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,86.0,9.2,19.0,90.1,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,84.0,12.9,19.3,90.1,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,89.0,9.5,18.5,90.1,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,86.0,11.1,17.9,90.1,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,83.0,13.7,20.7,90.4,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,86.0,15.8,21.4,90.6,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,86.0,13.1,19.9,90.7,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,78.0,10.7,17.2,90.7,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,87.0,12.3,16.3,90.6,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,84.0,12.8,17.4,90.5,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,90.0,11.0,14.9,90.3,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,86.0,13.0,16.1,90.0,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,84.0,10.8,17.0,90.0,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,85.0,11.3,18.8,89.9,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,88.0,12.6,19.3,89.9,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,88.0,12.9,18.8,90.4,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,87.0,11.9,18.5,90.6,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,84.0,12.1,17.3,90.5,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,85.0,11.9,17.3,90.6,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,90.0,10.2,14.6,90.6,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,87.0,12.4,15.1,90.5,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,88.0,13.1,23.5,90.7,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,91.0,12.9,26.8,91.3,7.2,0.7,
GUSNAWEB,Intel Core i5-8350U,91.0,18.1,24.0,91.8,7.2,0.6,
GUSNAWEB,Intel Core i5-8350U,87.0,11.5,20.7,91.6,7.2,0.7,
GUSNAWEB,Intel Core i5-8350U,84.0,10.0,21.2,91.5,7.2,0.7,
GUSNAWEB,Intel Core i5-8350U,85.0,11.7,21.8,91.6,7.2,0.7,
GUSNAWEB,Intel Core i5-8350U,82.0,9.8,21.6,91.6,7.2,0.7,
GUSNAWEB,Intel Core i5-8350U,87.0,10.8,20.9,91.6,7.2,0.7,
GUSNAWEB,Intel Core i5-8350U,89.0,11.5,20.4,91.5,7.2,0.7,
GUSNAWEB,Intel Core i5-8350U,88.0,12.5,21.0,91.1,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,86.0,9.5,21.3,91.1,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,87.0,11.1,20.3,90.8,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,86.0,10.2,18.6,90.9,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,86.0,11.7,21.2,91.2,7.2,0.7,
GUSNAWEB,Intel Core i5-8350U,91.0,31.8,25.0,91.3,7.2,0.7,
GUSNAWEB,Intel Core i5-8350U,84.0,10.1,22.2,90.9,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,87.0,9.6,18.4,90.9,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,86.0,9.2,19.0,90.9,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,82.0,9.2,18.5,90.9,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,89.0,9.4,18.7,90.8,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,83.0,10.3,18.6,90.7,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,89.0,10.9,18.8,90.7,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,89.0,10.6,18.2,90.7,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,86.0,8.8,18.7,90.7,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,88.0,9.0,18.7,90.3,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,87.0,9.6,18.9,90.4,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,87.0,10.2,18.6,90.4,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,88.0,10.0,18.3,90.4,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,87.0,10.2,18.6,90.4,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,89.0,11.1,19.6,90.3,7.1,0.8,
